	base_ID	left_ID	right_ID	triple_ID	answer	promptscheme	model	flieds	dataset	sysprompt
45	l00190023	l0080311	l00170195	l0080311l00190023l00170195	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
46	l0020161	l00180062	l00160041	l00180062l0020161l00160041	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
47	l0030084	l0080129	l00200184	l0080129l0030084l00200184	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
48	l00130257	l00130182	l0080543	l00130182l00130257l0080543	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
49	l00200088	l00170003	l0080361	l00170003l00200088l0080361	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
50	l0090086	l0080554	l0060046	l0080554l0090086l0060046	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
51	l00170200	l00170061	l0080134	l00170061l00170200l0080134	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
52	l00140084	l00140078	l00190035	l00140078l00140084l00190035	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
53	l0030183	l00140124	l00130451	l00140124l0030183l00130451	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
54	l0010018	l0030323	l0050016	l0030323l0010018l0050016	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
55	l0080044	l00170112	l0080333	l00170112l0080044l0080333	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
56	l00170161	l0010154	l00130457	l0010154l00170161l00130457	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
57	l0080132	l0020147	l00130383	l0020147l0080132l00130383	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
58	l00140078	l0010261	l00160211	l0010261l00140078l00160211	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
59	l0080361	l0040336	l0010239	l0040336l0080361l0010239	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
60	l00180060	l00200135	l0080412	l00200135l00180060l0080412	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
61	l0080026	l0060056	l00180026	l0060056l0080026l00180026	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
62	l0080616	l0010012	l0080361	l0010012l0080616l0080361	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
63	l00140029	l0060082	l0040554	l0060082l00140029l0040554	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
64	l00140150	l00130210	l0080587	l00130210l00140150l0080587	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
65	l0030218	l0030433	l00200188	l0030433l0030218l00200188	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
66	l0080165	l0030066	l00160262	l0030066l0080165l00160262	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
67	l00130102	l00200088	l00200135	l00200088l00130102l00200135	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
68	l0030115	l00170125	l00100088	l00170125l0030115l00100088	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
69	l0040554	l00130138	l0080055	l00130138l0040554l0080055	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
70	l00130359	l00130398	l0080305	l00130398l00130359l0080305	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
71	l0020147	l00160172	l0030065	l00160172l0020147l0030065	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
72	l00130384	l00140198	l0030174	l00140198l00130384l0030174	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
73	l0060057	l00160004	l00140103	l00160004l0060057l00140103	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
74	l00200021	l0010132	l0040216	l0010132l00200021l0040216	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
75	l0040217	l0030031	l0090083	l0030031l0040217l0090083	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
76	l00130210	l00140150	l0010202	l00140150l00130210l0010202	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
77	l0010125	l0010079	l00200301	l0010079l0010125l00200301	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
78	l0030323	l00200176	l00140156	l00200176l0030323l00140156	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
79	l0080369	l0060068	l00180012	l0060068l0080369l00180012	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
80	l0060082	l0030305	l0040053	l0030305l0060082l0040053	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
81	l0030433	l0010238	l0020039	l0010238l0030433l0020039	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
82	l00160262	l0020047	l0030112	l0020047l00160262l0030112	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
83	l00100111	l00130162	l00130138	l00130162l00100111l00130138	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
84	l0040336	l0010238	l00170058	l0010238l0040336l00170058	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
85	l00180051	l0010042	l0060062	l0010042l00180051l0060062	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
86	l0040524	l0080448	l00110081	l0080448l0040524l00110081	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
87	l00130210	l00200254	l00140150	l00200254l00130210l00140150	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
88	l00200002	l0080493	l00180143	l0080493l00200002l00180143	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
89	l0010239	l00170058	l0080356	l00170058l0010239l0080356	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
90	l00200202	l0080377	l0080208	l0080377l00200202l0080208	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
91	l0040216	l00130407	l00140029	l00130407l0040216l00140029	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
92	l00160211	l00130451	l00190039	l00130451l00160211l00190039	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
93	l00100106	l00200340	l00140177	l00200340l00100106l00140177	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
94	l0010170	l0010217	l00200135	l0010217l0010170l00200135	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
95	l00140028	l00140156	l00130138	l00140156l00140028l00130138	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
96	l00160192	l0080553	l00160300	l0080553l00160192l00160300	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
97	l0080578	l00200179	l0070146	l00200179l0080578l0070146	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
98	l0010076	l0050031	l0010186	l0050031l0010076l0010186	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
99	l0010082	l00130354	l0030174	l00130354l0010082l0030174	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
