	triple_ID	annotator	title	base_ID	left_ID	right_ID	Form	Inhalt	Emotion	Stil	Insgesamt	triple_ID.1	Runde	lookup
13	l0060056l0030420l00170194	SW	Verirrt 	l0030420	l0060056	l00170194	same	left	left	left	left	l0060056l0030420l00170194	Runde 2	l0030420l0060056l00170194
14	l00160112l0030305l00170003	SW	Ich hörte den Wind... 	l0030305	l00160112	l00170003	right	left	left	same	same	l00160112l0030305l00170003	Runde 2	l0030305l00160112l00170003
15	l0030184l00180035l00180166	SW	Einst 	l00180035	l0030184	l00180166	left	right	same	same	same	l0030184l00180035l00180166	Runde 2	l00180035l0030184l00180166
16	l0040505l0080132l00130457	MK	Gottesgabe 	l0080132	l0040505	l00130457	right	right	same	right	right	l0040505l0080132l00130457	Runde 2	l0080132l0040505l00130457
17	l0080132l00200278l0020167	MK	Lied 	l00200278	l0080132	l0020167	same	right	right	same	right	l0080132l00200278l0020167	Runde 2	l00200278l0080132l0020167
18	l00130059l00130383l00200186	MK	Deutsche Art 	l00130383	l00130059	l00200186	right	left	left	left	left	l00130059l00130383l00200186	Runde 2	l00130383l00130059l00200186
19	l00130378l0010218l0080311	MK	Wie ist das Leben bitter arm 	l0010218	l00130378	l0080311	right	right	right	right	right	l00130378l0010218l0080311	Runde 2	l0010218l00130378l0080311
20	l00130102l00200088l0080046	MK	Trost der Nacht 	l00200088	l00130102	l0080046	left	left	left	left	left	l00130102l00200088l0080046	Runde 2	l00200088l00130102l0080046
21	l00130138l0040509l00130070	MK	Das war der Tag der weißen Chrysanthemen – 	l0040509	l00130138	l00130070	right	same	same	same	same	l00130138l0040509l00130070	Runde 2	l0040509l00130138l00130070
22	l0080026l00100088l0050040	MK	Der Tod und das Mädchen 	l00100088	l0080026	l0050040	left	right	right	right	same	l0080026l00100088l0050040	Runde 2	l00100088l0080026l0050040
23	l00140024l00130210l00140150	MK	Gleichgültigkeit 	l00130210	l00140024	l00140150	right	right	right	same	right	l00140024l00130210l00140150	Runde 2	l00130210l00140024l00140150
24	l0010154l0080055l0090086	MK	Erste und letzte Liebe 	l0080055	l0010154	l0090086	left	left	left	left	left	l0010154l0080055l0090086	Runde 2	l0080055l0010154l0090086
25	l0050064l0010193l0030243	MK	Warte noch 	l0010193	l0050064	l0030243	same	right	left	right	right	l0050064l0010193l0030243	Runde 2	l0010193l0050064l0030243
26	l00100009l0080503l0040505	SW	Der Frühling	l0080503	l00100009	l0040505	left	left	same	left	left	l00100009l0080503l0040505	Runde 1	l0080503l00100009l0040505
27	l00180069l00130138l0040554	MK	Die Kunst – 	l00130138	l00180069	l0040554	left	same	left	left	left	l00180069l00130138l0040554	Runde 2	l00130138l00180069l0040554
28	l0010193l00160041l00160172	MK	Ans Ziel – 	l00160041	l0010193	l00160172	left	same	right	same	same	l0010193l00160041l00160172	Runde 2	l00160041l0010193l00160172
29	l0060062l00170019l0080412	MK	Banger Abend 	l00170019	l0060062	l0080412	same	left	right	same	left	l0060062l00170019l0080412	Runde 2	l00170019l0060062l0080412
30	l00180047l0030218l00130204	SW	Letzte Fahrt 	l0030218	l00180047	l00130204	right	right	right	same	right	l00180047l0030218l00130204	Runde 2	l0030218l00180047l00130204
31	l00170225l0010056l0010184	MK	In der Kirschenblüt' 	l0010056	l00170225	l0010184	right	right	right	left	right	l00170225l0010056l0010184	Runde 2	l0010056l00170225l0010184
32	l0090085l0020119l00200112	SW	Sehnsucht	l0020119	l0090085	l00200112	right	right	right	right	right	l0090085l0020119l00200112	Runde 1	l0020119l0090085l00200112
33	l0080549l00180091l00140066	SW	Musik bewegt mich, daß ich dein gedenke	l00180091	l0080549	l00140066	left	left	left	right	left	l0080549l00180091l00140066	Runde 1	l00180091l0080549l00140066
34	l00200253l00180136l0050040	MK	Nur nimm sie wieder aus der Städte Schuld 	l00180136	l00200253	l0050040	left	left	left	left	left	l00200253l00180136l0050040	Runde 2	l00180136l00200253l0050040
35	l00200026l0010172l00130042	MK	Geschieden 	l0010172	l00200026	l00130042	left	right	right	same	right	l00200026l0010172l00130042	Runde 2	l0010172l00200026l00130042
36	l0030167l0080132l0080493	SW	Gottesgabe 	l0080132	l0030167	l0080493	right	left	same	same	left	l0030167l0080132l0080493	Runde 2	l0080132l0030167l0080493
37	l00130354l00130111l00200301	MK	Vorsicht 	l00130111	l00130354	l00200301	same	left	same	same	same	l00130354l00130111l00200301	Runde 2	l00130111l00130354l00200301
38	l0080497l0010300l0080333	MK	Leuchtende Tage 	l0010300	l0080497	l0080333	left	right	right	right	right	l0080497l0010300l0080333	Runde 2	l0010300l0080497l0080333
39	l0030373l0010038l00140105	SW	Habenichts 	l0010038	l0030373	l00140105	same	left	same	left	same	l0030373l0010038l00140105	Runde 2	l0010038l0030373l00140105
40	l00160262l00180166l0060019	SW	Leben 	l00180166	l00160262	l0060019	right	right	right	right	right	l00160262l00180166l0060019	Runde 2	l00180166l00160262l0060019
41	l00180168l0010154l00200278	MK	Die alte Jungfer – 	l0010154	l00180168	l00200278	left	right	right	same	right	l00180168l0010154l00200278	Runde 2	l0010154l00180168l00200278
42	l0040554l00130138l0030431	SW	Die Kunst – 	l00130138	l0040554	l0030431	left	right	right	same	right	l0040554l00130138l0030431	Runde 2	l00130138l0040554l0030431
43	l0090086l00130210l00140150	MK	Gleichgültigkeit 	l00130210	l0090086	l00140150	left	right	right	right	right	l0090086l00130210l00140150	Runde 2	l00130210l0090086l00140150
44	l00200179l0080412l00130138	MK	Ich will mich in dein Herz gewöhnen 	l0080412	l00200179	l00130138	right	left	left	left	left	l00200179l0080412l00130138	Runde 2	l0080412l00200179l00130138
45	l0080311l00190023l00170195	SW	Das schwarze Lachen 	l00190023	l0080311	l00170195	left	left	left	same	left	l0080311l00190023l00170195	Runde 2	l00190023l0080311l00170195
46	l00180062l0020161l00160041	SW	Die junge Mutter	l0020161	l00180062	l00160041	right	left	left	left	same	l00180062l0020161l00160041	Runde 1	l0020161l00180062l00160041
47	l0080129l0030084l00200184	SW	Geheimnis	l0030084	l0080129	l00200184	right	right	left	right	right	l0080129l0030084l00200184	Runde 1	l0030084l0080129l00200184
48	l00130182l00130257l0080543	MK	An die Lerche 	l00130257	l00130182	l0080543	left	left	left	left	left	l00130182l00130257l0080543	Runde 2	l00130257l00130182l0080543
49	l00170003l00200088l0080361	MK	Trost der Nacht 	l00200088	l00170003	l0080361	right	right	right	right	right	l00170003l00200088l0080361	Runde 2	l00200088l00170003l0080361
50	l0080554l0090086l0060046	MK	Morgenduft 	l0090086	l0080554	l0060046	left	right	right	right	right	l0080554l0090086l0060046	Runde 2	l0090086l0080554l0060046
51	l00170061l00170200l0080134	SW	Raub	l00170200	l00170061	l0080134	right	right	right	right	right	l00170061l00170200l0080134	Runde 1	l00170200l00170061l0080134
52	l00140078l00140084l00190035	SW	Mutter der Barmherzigkeit...	l00140084	l00140078	l00190035	left	left	left	left	left	l00140078l00140084l00190035	Runde 1	l00140084l00140078l00190035
53	l00140124l0030183l00130451	MK	Die frühe Stunde 	l0030183	l00140124	l00130451	right	right	right	left	right	l00140124l0030183l00130451	Runde 2	l0030183l00140124l00130451
54	l0030323l0010018l0050016	MK	Frisch vom Storch 	l0010018	l0030323	l0050016	right	same	left	left	left	l0030323l0010018l0050016	Runde 2	l0010018l0030323l0050016
55	l00170112l0080044l0080333	SW	Tausch	l0080044	l00170112	l0080333	left	right	left	left	left	l00170112l0080044l0080333	Runde 1	l0080044l00170112l0080333
56	l0010154l00170161l00130457	MK	Das Päckchen Gedichte 	l00170161	l0010154	l00130457	same	left	left	left	left	l0010154l00170161l00130457	Runde 2	l00170161l0010154l00130457
57	l0020147l0080132l00130383	MK	Gottesgabe 	l0080132	l0020147	l00130383	right	left	left	left	left	l0020147l0080132l00130383	Runde 2	l0080132l0020147l00130383
58	l0010261l00140078l00160211	SW	Ich schlief so sanft die ganze Nacht 	l00140078	l0010261	l00160211	left	left	left	left	left	l0010261l00140078l00160211	Runde 2	l00140078l0010261l00160211
59	l0040336l0080361l0010239	MK	Begegnen 	l0080361	l0040336	l0010239	left	same	left	left	left	l0040336l0080361l0010239	Runde 2	l0080361l0040336l0010239
60	l00200135l00180060l0080412	SW	Lied des Adlers:	l00180060	l00200135	l0080412	right	left	left	left	left	l00200135l00180060l0080412	Runde 1	l00180060l00200135l0080412
61	l0060056l0080026l00180026	MK	Das schlafende Kind 	l0080026	l0060056	l00180026	left	right	right	right	right	l0060056l0080026l00180026	Runde 2	l0080026l0060056l00180026
62	l0010012l0080616l0080361	MK	Ein Gebet 	l0080616	l0010012	l0080361	right	left	left	left	left	l0010012l0080616l0080361	Runde 2	l0080616l0010012l0080361
63	l0060082l00140029l0040554	MK	Pflicht 	l00140029	l0060082	l0040554	left	same	left	left	left	l0060082l00140029l0040554	Runde 2	l00140029l0060082l0040554
64	l00130210l00140150l0080587	MK	Graue Tage 	l00140150	l00130210	l0080587	same	same	left	left	same	l00130210l00140150l0080587	Runde 2	l00140150l00130210l0080587
65	l0030433l0030218l00200188	SW	Letzte Fahrt	l0030218	l0030433	l00200188	right	left	left	left	left	l0030433l0030218l00200188	Runde 1	l0030218l0030433l00200188
66	l0030066l0080165l00160262	MK	Ich bat sie um die Rose 	l0080165	l0030066	l00160262	right	right	right	same	right	l0030066l0080165l00160262	Runde 2	l0080165l0030066l00160262
67	l00200088l00130102l00200135	SW	April 	l00130102	l00200088	l00200135	left	right	right	left	same	l00200088l00130102l00200135	Runde 2	l00130102l00200088l00200135
68	l00170125l0030115l00100088	MK	So regnet es sich langsam ein.. 	l0030115	l00170125	l00100088	same	left	left	left	left	l00170125l0030115l00100088	Runde 2	l0030115l00170125l00100088
69	l00130138l0040554l0080055	MK	Porträt des Marquis de... 	l0040554	l00130138	l0080055	right	same	left	right	same	l00130138l0040554l0080055	Runde 2	l0040554l00130138l0080055
70	l00130398l00130359l0080305	MK	So lange wir vertrauen 	l00130359	l00130398	l0080305	same	right	right	right	right	l00130398l00130359l0080305	Runde 2	l00130359l00130398l0080305
71	l00160172l0020147l0030065	MK	An die Freunde 	l0020147	l00160172	l0030065	right	left	same	left	left	l00160172l0020147l0030065	Runde 2	l0020147l00160172l0030065
72	l00140198l00130384l0030174	MK	Guter Rat 	l00130384	l00140198	l0030174	left	left	same	left	left	l00140198l00130384l0030174	Runde 2	l00130384l00140198l0030174
73	l00160004l0060057l00140103	SW	Am Bahndamm 	l0060057	l00160004	l00140103	left	same	left	left	left	l00160004l0060057l00140103	Runde 2	l0060057l00160004l00140103
74	l0010132l00200021l0040216	MK	Alte Heimath 	l00200021	l0010132	l0040216	left	right	same	left	right	l0010132l00200021l0040216	Runde 2	l00200021l0010132l0040216
75	l0030031l0040217l0090083	MK	Abend im Tal 	l0040217	l0030031	l0090083	same	right	right	left	right	l0030031l0040217l0090083	Runde 2	l0040217l0030031l0090083
76	l00140150l00130210l0010202	SW	Gleichgültigkeit 	l00130210	l00140150	l0010202	right	left	left	right	left	l00140150l00130210l0010202	Runde 2	l00130210l00140150l0010202
77	l0010079l0010125l00200301	SW	Ganz im Geheimen 	l0010125	l0010079	l00200301	left	right	right	same	right	l0010079l0010125l00200301	Runde 2	l0010125l0010079l00200301
78	l00200176l0030323l00140156	MK	Zarathustras Lied 	l0030323	l00200176	l00140156	same	same	same	same	same	l00200176l0030323l00140156	Runde 2	l0030323l00200176l00140156
79	l0060068l0080369l00180012	MK	Das ist so Brauch 	l0080369	l0060068	l00180012	left	left	same	left	left	l0060068l0080369l00180012	Runde 2	l0080369l0060068l00180012
80	l0030305l0060082l0040053	MK	Beschluß – 	l0060082	l0030305	l0040053	left	right	right	same	right	l0030305l0060082l0040053	Runde 2	l0060082l0030305l0040053
81	l0010238l0030433l0020039	MK	Dein Bild – 	l0030433	l0010238	l0020039	left	left	left	right	left	l0010238l0030433l0020039	Runde 2	l0030433l0010238l0020039
82	l0020047l00160262l0030112	SW	Enttäuschung 	l00160262	l0020047	l0030112	right	right	right	right	right	l0020047l00160262l0030112	Runde 2	l00160262l0020047l0030112
83	l00130162l00100111l00130138	MK	Hans Schreier junior 	l00100111	l00130162	l00130138	left	right	right	left	same	l00130162l00100111l00130138	Runde 2	l00100111l00130162l00130138
84	l0010238l0040336l00170058	MK	„Süß sind mir die Schollen des Tales.“ 	l0040336	l0010238	l00170058	left	right	right	same	right	l0010238l0040336l00170058	Runde 2	l0040336l0010238l00170058
85	l0010042l00180051l0060062	SW	Du findest zuletzt noch eine Bank	l00180051	l0010042	l0060062	right	right	right	right	right	l0010042l00180051l0060062	Runde 1	l00180051l0010042l0060062
86	l0080448l0040524l00110081	MK	Du und ich 	l0040524	l0080448	l00110081	same	left	left	left	left	l0080448l0040524l00110081	Runde 2	l0040524l0080448l00110081
87	l00200254l00130210l00140150	MK	Gleichgültigkeit 	l00130210	l00200254	l00140150	left	same	left	left	left	l00200254l00130210l00140150	Runde 2	l00130210l00200254l00140150
88	l0080493l00200002l00180143	MK	Trost und Hoffnung 	l00200002	l0080493	l00180143	left	left	left	same	left	l0080493l00200002l00180143	Runde 2	l00200002l0080493l00180143
89	l00170058l0010239l0080356	SW	Kleine Marie 	l0010239	l00170058	l0080356	same	left	left	left	left	l00170058l0010239l0080356	Runde 2	l0010239l00170058l0080356
90	l0080377l00200202l0080208	MK	Du kennst mich nicht 	l00200202	l0080377	l0080208	right	same	same	same	same	l0080377l00200202l0080208	Runde 2	l00200202l0080377l0080208
91	l00130407l0040216l00140029	MK	Erhellte Ferne 	l0040216	l00130407	l00140029	right	left	left	right	left	l00130407l0040216l00140029	Runde 2	l0040216l00130407l00140029
92	l00130451l00160211l00190039	MK	Weltlauf 	l00160211	l00130451	l00190039	left	same	left	right	left	l00130451l00160211l00190039	Runde 2	l00160211l00130451l00190039
93	l00200340l00100106l00140177	SW	Eitelkeit	l00100106	l00200340	l00140177	left	left	same	same	left	l00200340l00100106l00140177	Runde 1	l00100106l00200340l00140177
94	l0010217l0010170l00200135	MK	Sorgen 	l0010170	l0010217	l00200135	left	same	right	same	right	l0010217l0010170l00200135	Runde 2	l0010170l0010217l00200135
95	l00140156l00140028l00130138	SW	Schicksalswende	l00140028	l00140156	l00130138	left	left	left	left	left	l00140156l00140028l00130138	Runde 1	l00140028l00140156l00130138
96	l0080553l00160192l00160300	SW	Auf Gegenseitigkeit 	l00160192	l0080553	l00160300	left	right	right	right	same	l0080553l00160192l00160300	Runde 2	l00160192l0080553l00160300
97	l00200179l0080578l0070146	MK	Magdalene 	l0080578	l00200179	l0070146	right	left	left	right	left	l00200179l0080578l0070146	Runde 2	l0080578l00200179l0070146
98	l0050031l0010076l0010186	MK	Der Seligen Furcht 	l0010076	l0050031	l0010186	same	left	right	right	right	l0050031l0010076l0010186	Runde 2	l0010076l0050031l0010186
99	l00130354l0010082l0030174	MK	Fremd in der Fremde – 	l0010082	l00130354	l0030174	left	right	left	left	left	l00130354l0010082l0030174	Runde 2	l0010082l00130354l0030174
