	annotator	title	base_ID	left_ID	right_ID	Form	Content	Emotion	Style	Overall	triple_ID	Runde
1355	FJ+MK+SW	Regenduft 	l0090084	l00130348	l0030431	right	right	same	same	right	l00130348l0090084l0030431	FJ+MK+SW
1356	FJ+MK+SW	Mir 	l0020034	l00130056	l0010018	right	same	right	same	right	l00130056l0020034l0010018	FJ+MK+SW
1357	FJ+MK+SW	Die Lawine 	l00130451	l00110081	l00100008	left	left	same	left	left	l00110081l00130451l00100008	FJ+MK+SW
1358	FJ+MK+SW	Habenichts 	l0010038	l0030227	l0090065	same	same	same	same	same	l0030227l0010038l0090065	FJ+MK+SW
1359	FJ+MK+SW	Das war der Tag der weißen Chrysanthemen – 	l0040509	l0010076	l0060019	right	same	left	same	same	l0010076l0040509l0060019	FJ+MK+SW
1360	FJ+MK+SW	Beschluß – 	l0060082	l00170003	l00140029	right	left	same	same	same	l00170003l0060082l00140029	FJ+MK+SW
1361	FJ+MK+SW	Guter Rat 	l00130384	l0010170	l00200340	left	same	same	same	same	l0010170l00130384l00200340	FJ+MK+SW
1362	FJ+MK+SW	Aus den Liedern der Trauer	l00160240	l0010261	l0080251	right	same	left	same	same	l0010261l00160240l0080251	FJ+MK+SW
1363	FJ+MK+SW	Der Liebesbrief 	l0080046	l0010079	l0080344	left	left	left	same	left	l0010079l0080046l0080344	FJ+MK+SW
1364	FJ+MK+SW	Im Entschlafen 	l00170125	l00180060	l0030305	right	right	right	left	right	l00180060l00170125l0030305	FJ+MK+SW
1365	FJ+MK+SW	Nachtlied 	l00200135	l00140198	l0010170	same	right	same	same	right	l00140198l00200135l0010170	FJ+MK+SW
1366	FJ+MK+SW	Im Frühling 	l00130042	l00160300	l0030167	right	right	right	right	right	l00160300l00130042l0030167	FJ+MK+SW
1367	FJ+MK+SW	Vorsicht 	l00130111	l00130138	l00160282	same	same	left	same	same	l00130138l00130111l00160282	FJ+MK+SW
1368	FJ+MK+SW	Doppelte Jugend 	l0080077	l00180012	l00160004	right	right	right	right	right	l00180012l0080077l00160004	FJ+MK+SW
1369	FJ+MK+SW	Mein Herz und deine Stimme 	l00200064	l0010056	l00160117	right	left	left	right	left	l0010056l00200064l00160117	FJ+MK+SW
1370	FJ+MK+SW	Fromme Bücher 	l00160212	l00190023	l0030184	same	same	right	same	right	l00190023l00160212l0030184	FJ+MK+SW
1371	FJ+MK+SW	Nur nimm sie wieder aus der Städte Schuld 	l00180136	l0050040	l0020047	right	right	right	right	right	l0050040l00180136l0020047	FJ+MK+SW
1372	FJ+MK+SW	Ich bat sie um die Rose 	l0080165	l0010208	l00140150	left	left	left	right	left	l0010208l0080165l00140150	FJ+MK+SW
1373	FJ+MK+SW	Die List der Trinker 	l0020029	l0080208	l00160240	right	left	left	same	left	l0080208l0020029l00160240	FJ+MK+SW
1374	FJ+MK+SW	Die Näherin 	l0010186	l00130451	l00130354	same	right	right	same	right	l00130451l0010186l00130354	FJ+MK+SW
1375	FJ+MK+SW	An die Lerche 	l00130257	l00130375	l00130182	right	right	right	right	right	l00130375l00130257l00130182	FJ+MK+SW
1376	FJ+MK+SW	Unter den Zweigen 	l0080251	l0020029	l00160113	left	left	left	left	left	l0020029l0080251l00160113	FJ+MK+SW
1377	FJ+MK+SW	Magdalene 	l0080578	l00200179	l00130182	same	left	left	same	left	l00200179l0080578l00130182	FJ+MK+SW
1378	FJ+MK+SW	Lady Rosa 	l0030184	l00140028	l00160212	left	left	same	left	left	l00140028l0030184l00160212	FJ+MK+SW
1379	FJ+MK+SW	Der Trompeter 	l0010208	l0080165	l00130378	left	left	left	same	left	l0080165l0010208l00130378	FJ+MK+SW
1380	FJ+MK+SW	Marksteine 	l00130329	l00180143	l0080361	right	same	left	same	same	l00180143l00130329l0080361	FJ+MK+SW
1381	FJ+MK+SW	Spaziergang	l00170030	l0080419	l0030080	right	left	left	left	left	l0080419l00170030l0030080	FJ+MK+SW
1382	FJ+MK+SW	Nachtbild	l0040579	l00100094	l00170065	left	same	right	left	left	l00100094l0040579l00170065	FJ+MK+SW
1383	FJ+MK+SW	Was schreibt die Woge in den Sand?	l00270241	l0090070	l00270469	same	same	same	right	right	l0090070l00270241l00270469	FJ+MK+SW
1384	FJ+MK+SW	Casabianca	l0040512	l00270401	l0080405	left	same	right	same	same	l00270401l0040512l0080405	FJ+MK+SW
1385	FJ+MK+SW	Spätsommer	l0010277	l0030018	l00100115	same	left	left	left	left	l0030018l0010277l00100115	FJ+MK+SW
1386	FJ+MK+SW	Mutterwort	l00270438	l0040333	l0040181	left	same	left	left	left	l0040333l00270438l0040181	FJ+MK+SW
1387	FJ+MK+SW	Trost	l0020036	l00150030	l00170187	left	same	same	same	same	l00150030l0020036l00170187	FJ+MK+SW
1388	FJ+MK+SW	In rote Fixsternwälder, die verbluten	l0040301	l0040516	l0030428	same	right	same	same	right	l0040516l0040301l0030428	FJ+MK+SW
1389	FJ+MK+SW	In diesem Dorfe steht das letzte Haus	l00180133	l0040227	l00270102	same	same	same	same	same	l0040227l00180133l00270102	FJ+MK+SW
1390	FJ+MK+SW	Schmetterlings Sterbelied	l0020084	l0030143	l0040118	left	same	same	right	same	l0030143l0020084l0040118	FJ+MK+SW
1391	FJ+MK+SW	Es wird die schlafende Lawine —	l00270798	l0030220	l00110076	left	same	same	left	left	l0030220l00270798l00110076	FJ+MK+SW
1392	FJ+MK+SW	Herbststimmung	l0040028	l0010299	l0030043	left	right	same	same	same	l0010299l0040028l0030043	FJ+MK+SW
